N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,0.37,0.39,0.17,0.10,0.30,0.18,0.39,0.29,N/A,N/A,1,0.21,0.17,0.23,0.10,0.09,0.23,0.25,0.21,0.26,0.11,0.02,0.32,0.22,0.27,0.24,0.19,0.18
0.09,0.25,0.27,0.20,0.10,0.29,0.20,0.17,0.31,N/A,N/A,0.21,1,0.24,0.16,0.08,0.03,0.22,0.29,0.33,0.14,0.19,0.26,0.29,0.32,0.22,0.26,0.19,0.23
0.09,0.30,0.18,0.28,0.11,0.20,0.13,0.05,0.15,N/A,N/A,0.17,0.24,1,0.20,0.24,0.16,0.21,0.26,0.31,0.19,0.07,0.21,0.26,0.11,0.37,0.15,0.10,0.17
0.21,0.37,0.34,0.34,0.13,0.21,0.17,0.19,0.31,N/A,N/A,0.23,0.16,0.20,1,0.10,0.19,0.04,0.23,0.22,0.23,0.20,0.11,0.21,0.24,0.26,0.25,0.18,0.27
0.01,0.07,0.02,0.07,0.02,0.05,0.07,0.12,0.05,N/A,N/A,0.10,0.08,0.24,0.10,1,0.04,0.03,0.03,0.19,-0.00,0.00,0.07,0.08,0.04,0.15,0.00,0.06,0.04
0.07,0.16,0.10,0.13,0.02,0.05,0.03,0.18,0.04,N/A,N/A,0.09,0.03,0.16,0.19,0.04,1,-0.01,0.11,0.10,0.03,0.03,0.03,0.07,0.05,0.14,0.01,0.10,0.03
-0.00,0.17,0.17,0.22,0.01,0.10,0.04,0.04,0.17,N/A,N/A,0.23,0.22,0.21,0.04,0.03,-0.01,1,0.11,0.25,0.05,0.02,0.24,0.24,0.11,0.14,0.22,0.04,0.15
0.06,0.38,0.24,0.18,0.05,0.32,0.19,0.24,0.23,N/A,N/A,0.25,0.29,0.26,0.23,0.03,0.11,0.11,1,0.30,0.13,0.20,0.20,0.25,0.14,0.25,0.28,0.12,0.23
0.13,0.37,0.26,0.25,0.09,0.31,0.16,0.13,0.22,N/A,N/A,0.21,0.33,0.31,0.22,0.19,0.10,0.25,0.30,1,0.16,0.11,0.10,0.29,0.19,0.34,0.24,0.13,0.21
0.19,0.28,0.31,0.19,0.11,0.22,0.07,0.06,0.18,N/A,N/A,0.26,0.14,0.19,0.23,-0.00,0.03,0.05,0.13,0.16,1,0.13,0.10,0.17,0.25,0.19,0.21,0.13,0.23
0.09,0.15,0.16,0.01,0.02,0.18,0.12,0.05,0.29,N/A,N/A,0.11,0.19,0.07,0.20,0.00,0.03,0.02,0.20,0.11,0.13,1,0.12,0.18,0.25,0.11,0.12,0.13,0.17
0.02,0.23,0.11,0.17,0.04,0.18,0.08,0.06,0.07,N/A,N/A,0.02,0.26,0.21,0.11,0.07,0.03,0.24,0.20,0.10,0.10,0.12,1,0.10,0.17,0.18,0.25,0.29,0.17
0.16,0.34,0.22,0.24,0.07,0.28,0.21,0.18,0.27,N/A,N/A,0.32,0.29,0.26,0.21,0.08,0.07,0.24,0.25,0.29,0.17,0.18,0.10,1,0.24,0.29,0.21,0.10,0.24
0.07,0.21,0.28,0.23,0.06,0.17,0.13,0.07,0.35,N/A,N/A,0.22,0.32,0.11,0.24,0.04,0.05,0.11,0.14,0.19,0.25,0.25,0.17,0.24,1,0.15,0.27,0.23,0.24
0.04,0.34,0.26,0.30,0.07,0.27,0.13,0.12,0.14,N/A,N/A,0.27,0.22,0.37,0.26,0.15,0.14,0.14,0.25,0.34,0.19,0.11,0.18,0.29,0.15,1,0.22,0.13,0.17
0.09,0.35,0.35,0.23,0.22,0.40,0.16,0.28,0.38,N/A,N/A,0.24,0.26,0.15,0.25,0.00,0.01,0.22,0.28,0.24,0.21,0.12,0.25,0.21,0.27,0.22,1,0.21,0.25
0.02,0.29,0.21,0.04,0.13,0.34,0.19,0.14,0.25,N/A,N/A,0.19,0.19,0.10,0.18,0.06,0.10,0.04,0.12,0.13,0.13,0.13,0.29,0.10,0.23,0.13,0.21,1,0.26
0.07,0.31,0.27,0.21,0.11,0.27,0.24,0.22,0.32,N/A,N/A,0.18,0.23,0.17,0.27,0.04,0.03,0.15,0.23,0.21,0.23,0.17,0.17,0.24,0.24,0.17,0.25,0.26,1
