0.91,0.05,0.86,0.85,0.33,N/A,0.83,0.81,0.21,0.06,N/A,0.37,N/A,N/A,0.83,0.86,0.69,0.14,0.88,0.12,0.09,1,0.09,0.82,0.13,0.20,N/A,0.09,0.48,0.87,0.04,0.76,0.55,0.33,0.85,0.74,N/A,0.85,0.09,0.84,0.30,0.16,N/A,0.25,0.82,0.88,0.13,N/A,0.56
0.10,0.02,0.12,0.10,0.01,N/A,0.02,0.10,0.09,0.04,N/A,-0.02,N/A,N/A,0.09,0.08,0.10,-0.01,0.08,0.05,0.07,0.09,1,0.04,0.03,-0.00,N/A,0.07,-0.02,0.09,0.00,0.08,0.01,0.08,0.11,0.10,N/A,0.04,0.01,0.12,-0.03,0.04,N/A,-0.02,0.06,0.12,0.10,N/A,0.03
0.89,0.05,0.81,0.80,0.27,N/A,0.86,0.73,0.22,0.16,N/A,0.34,N/A,N/A,0.81,0.83,0.56,0.07,0.86,0.12,0.12,0.82,0.04,1,0.12,0.14,N/A,0.12,0.53,0.83,0.03,0.66,0.52,0.21,0.88,0.57,N/A,0.94,0.09,0.78,0.29,0.12,N/A,0.30,0.86,0.83,0.09,N/A,0.50
0.12,0.00,0.16,0.19,0.06,N/A,0.12,0.13,0.00,0.01,N/A,0.10,N/A,N/A,0.11,0.14,0.26,0.05,0.14,0.09,0.01,0.13,0.03,0.12,1,0.05,N/A,0.01,0.14,0.12,0.02,0.19,0.01,0.08,0.12,0.22,N/A,0.07,0.01,0.17,0.11,0.04,N/A,-0.01,0.09,0.12,0.03,N/A,0.17
0.20,-0.02,0.25,0.18,0.05,N/A,0.19,0.27,0.07,0.05,N/A,0.03,N/A,N/A,0.25,0.27,0.25,0.01,0.19,0.08,-0.00,0.20,-0.00,0.14,0.05,1,N/A,-0.00,0.09,0.23,0.23,0.22,0.08,0.23,0.16,0.20,N/A,0.17,-0.00,0.19,0.06,0.13,N/A,0.02,0.20,0.31,0.07,N/A,0.09
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.10,0.06,0.10,0.09,-0.03,N/A,0.09,0.11,0.05,0.03,N/A,-0.01,N/A,N/A,0.09,0.09,0.05,0.00,0.10,-0.02,1.00,0.09,0.07,0.12,0.01,-0.00,N/A,1,0.00,0.08,0.01,0.08,0.11,0.07,0.14,0.04,N/A,0.13,0.01,0.08,0.01,0.01,N/A,0.12,0.13,0.09,0.03,N/A,0.08
0.53,-0.01,0.52,0.61,0.31,N/A,0.52,0.39,0.08,0.05,N/A,0.52,N/A,N/A,0.47,0.52,0.42,0.00,0.56,0.14,0.00,0.48,-0.02,0.53,0.14,0.09,N/A,0.00,1,0.48,0.02,0.45,0.34,0.06,0.52,0.42,N/A,0.51,0.04,0.58,0.48,0.04,N/A,0.14,0.49,0.48,-0.03,N/A,0.45
0.90,0.04,0.85,0.81,0.31,N/A,0.85,0.78,0.26,0.08,N/A,0.32,N/A,N/A,0.86,0.88,0.70,0.10,0.87,0.12,0.08,0.87,0.09,0.83,0.12,0.23,N/A,0.08,0.48,1,0.04,0.76,0.52,0.27,0.84,0.69,N/A,0.88,0.09,0.82,0.26,0.15,N/A,0.25,0.86,0.89,0.17,N/A,0.53
0.06,-0.01,0.06,0.08,0.05,N/A,0.07,0.05,0.02,0.04,N/A,-0.03,N/A,N/A,0.04,0.12,0.03,-0.03,0.04,-0.01,0.01,0.04,0.00,0.03,0.02,0.23,N/A,0.01,0.02,0.04,1,0.03,0.01,0.03,0.09,0.06,N/A,0.04,0.01,0.05,0.03,0.03,N/A,-0.00,0.07,0.05,0.04,N/A,-0.00
0.77,0.07,0.77,0.79,0.37,N/A,0.70,0.72,0.14,0.09,N/A,0.29,N/A,N/A,0.71,0.77,0.71,0.17,0.77,0.14,0.08,0.76,0.08,0.66,0.19,0.22,N/A,0.08,0.45,0.76,0.03,1,0.57,0.33,0.73,0.75,N/A,0.66,0.10,0.79,0.32,0.19,N/A,0.20,0.69,0.77,0.13,N/A,0.61
0.59,-0.00,0.52,0.63,0.36,N/A,0.54,0.51,0.05,0.19,N/A,0.26,N/A,N/A,0.51,0.53,0.41,0.09,0.55,0.06,0.11,0.55,0.01,0.52,0.01,0.08,N/A,0.11,0.34,0.52,0.01,0.57,1,0.21,0.56,0.52,N/A,0.51,0.02,0.62,0.20,0.12,N/A,0.05,0.54,0.55,0.08,N/A,0.48
0.27,-0.03,0.37,0.29,0.08,N/A,0.20,0.77,-0.01,0.09,N/A,0.04,N/A,N/A,0.24,0.28,0.29,0.16,0.29,-0.00,0.07,0.33,0.08,0.21,0.08,0.23,N/A,0.07,0.06,0.27,0.03,0.33,0.21,1,0.24,0.29,N/A,0.19,0.00,0.30,0.06,0.50,N/A,0.03,0.20,0.30,0.26,N/A,0.21
0.90,0.05,0.82,0.85,0.34,N/A,0.86,0.75,0.17,0.11,N/A,0.32,N/A,N/A,0.84,0.85,0.63,0.10,0.88,0.11,0.14,0.85,0.11,0.88,0.12,0.16,N/A,0.14,0.52,0.84,0.09,0.73,0.56,0.24,1,0.63,N/A,0.92,0.10,0.83,0.29,0.17,N/A,0.34,0.88,0.85,0.12,N/A,0.59
0.72,0.10,0.71,0.77,0.33,N/A,0.60,0.68,0.13,0.07,N/A,0.31,N/A,N/A,0.66,0.72,0.73,0.20,0.73,0.11,0.04,0.74,0.10,0.57,0.22,0.20,N/A,0.04,0.42,0.69,0.06,0.75,0.52,0.29,0.63,1,N/A,0.55,0.08,0.78,0.35,0.15,N/A,0.12,0.62,0.74,0.18,N/A,0.60
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.93,0.03,0.82,0.79,0.27,N/A,0.90,0.75,0.23,0.08,N/A,0.30,N/A,N/A,0.86,0.85,0.56,0.06,0.88,0.11,0.13,0.85,0.04,0.94,0.07,0.17,N/A,0.13,0.51,0.88,0.04,0.66,0.51,0.19,0.92,0.55,N/A,1,0.10,0.77,0.24,0.10,N/A,0.36,0.91,0.86,0.10,N/A,0.48
0.11,-0.02,0.11,0.09,0.05,N/A,0.12,0.07,0.02,-0.02,N/A,0.02,N/A,N/A,0.07,0.08,0.04,0.03,0.15,-0.00,0.01,0.09,0.01,0.09,0.01,-0.00,N/A,0.01,0.04,0.09,0.01,0.10,0.02,0.00,0.10,0.08,N/A,0.10,1,0.10,0.08,-0.01,N/A,0.01,0.08,0.12,0.02,N/A,0.08
0.86,0.02,0.82,0.97,0.41,N/A,0.78,0.77,0.14,0.09,N/A,0.43,N/A,N/A,0.79,0.83,0.74,0.12,0.86,0.13,0.08,0.84,0.12,0.78,0.17,0.19,N/A,0.08,0.58,0.82,0.05,0.79,0.62,0.30,0.83,0.78,N/A,0.77,0.10,1,0.44,0.17,N/A,0.22,0.80,0.84,0.12,N/A,0.68
0.30,0.01,0.30,0.45,0.34,N/A,0.28,0.24,-0.00,-0.01,N/A,0.30,N/A,N/A,0.24,0.30,0.36,0.02,0.32,0.04,0.01,0.30,-0.03,0.29,0.11,0.06,N/A,0.01,0.48,0.26,0.03,0.32,0.20,0.06,0.29,0.35,N/A,0.24,0.08,0.44,1,0.03,N/A,0.01,0.27,0.25,0.03,N/A,0.34
0.14,0.09,0.19,0.19,0.04,N/A,0.12,0.38,0.01,0.17,N/A,0.02,N/A,N/A,0.18,0.16,0.16,0.18,0.13,-0.01,0.01,0.16,0.04,0.12,0.04,0.13,N/A,0.01,0.04,0.15,0.03,0.19,0.12,0.50,0.17,0.15,N/A,0.10,-0.01,0.17,0.03,1,N/A,-0.00,0.09,0.20,0.13,N/A,0.13
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.29,-0.02,0.22,0.21,0.02,N/A,0.27,0.21,0.04,0.00,N/A,0.02,N/A,N/A,0.37,0.23,0.12,-0.01,0.29,0.01,0.12,0.25,-0.02,0.30,-0.01,0.02,N/A,0.12,0.14,0.25,-0.00,0.20,0.05,0.03,0.34,0.12,N/A,0.36,0.01,0.22,0.01,-0.00,N/A,1,0.31,0.29,0.03,N/A,0.07
0.89,0.01,0.81,0.81,0.31,N/A,0.85,0.73,0.21,0.05,N/A,0.31,N/A,N/A,0.83,0.83,0.62,0.05,0.85,0.08,0.13,0.82,0.06,0.86,0.09,0.20,N/A,0.13,0.49,0.86,0.07,0.69,0.54,0.20,0.88,0.62,N/A,0.91,0.08,0.80,0.27,0.09,N/A,0.31,1,0.85,0.15,N/A,0.55
0.91,0.08,0.88,0.83,0.30,N/A,0.84,0.80,0.28,0.13,N/A,0.29,N/A,N/A,0.89,0.91,0.72,0.13,0.88,0.14,0.09,0.88,0.12,0.83,0.12,0.31,N/A,0.09,0.48,0.89,0.05,0.77,0.55,0.30,0.85,0.74,N/A,0.86,0.12,0.84,0.25,0.20,N/A,0.29,0.85,1,0.16,N/A,0.52
0.12,-0.11,0.12,0.12,0.13,N/A,0.11,0.24,0.19,0.10,N/A,-0.00,N/A,N/A,0.11,0.13,0.16,0.06,0.11,-0.05,0.03,0.13,0.10,0.09,0.03,0.07,N/A,0.03,-0.03,0.17,0.04,0.13,0.08,0.26,0.12,0.18,N/A,0.10,0.02,0.12,0.03,0.13,N/A,0.03,0.15,0.16,1,N/A,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.59,0.06,0.55,0.69,0.38,N/A,0.53,0.51,0.04,0.08,N/A,0.30,N/A,N/A,0.49,0.54,0.53,0.09,0.62,0.17,0.08,0.56,0.03,0.50,0.17,0.09,N/A,0.08,0.45,0.53,-0.00,0.61,0.48,0.21,0.59,0.60,N/A,0.48,0.08,0.68,0.34,0.13,N/A,0.07,0.55,0.52,0.08,N/A,1
