0.62,0.20,0.76,N/A,0.17,0.28,0.66,0.47,N/A,0.56,0.71,N/A,0.24,0.20,N/A,0.14,1,0.72,0.71,0.49,0.21,0.33,N/A,0.75,0.27,N/A,0.67,0.69,0.67,0.24,0.24,0.52,0.25,0.21,0.64,0.15,0.72
0.50,0.16,0.57,N/A,0.11,0.23,0.49,0.34,N/A,0.38,0.61,N/A,0.18,0.12,N/A,0.14,0.72,1,0.60,0.35,0.22,0.23,N/A,0.59,0.20,N/A,0.57,0.54,0.55,0.20,0.29,0.39,0.11,0.11,0.51,0.07,0.56
0.48,0.14,0.57,N/A,0.15,0.18,0.56,0.34,N/A,0.43,0.56,N/A,0.16,0.20,N/A,0.06,0.71,0.60,1,0.37,0.22,0.30,N/A,0.86,0.28,N/A,0.77,0.53,0.52,0.14,0.28,0.42,0.17,0.17,0.53,0.17,0.55
0.33,0.07,0.45,N/A,0.08,0.15,0.36,0.33,N/A,0.86,0.42,N/A,0.18,0.12,N/A,0.17,0.49,0.35,0.37,1,0.12,0.23,N/A,0.39,0.09,N/A,0.39,0.34,0.35,0.14,0.12,0.31,0.07,0.10,0.40,0.11,0.38
0.11,0.07,0.23,N/A,-0.02,-0.01,0.15,0.20,N/A,0.08,0.20,N/A,0.04,0.18,N/A,0.05,0.21,0.22,0.22,0.12,1,0.11,N/A,0.18,0.05,N/A,0.23,0.16,0.20,0.02,0.12,0.09,0.03,-0.02,0.19,0.01,0.21
0.21,0.12,0.23,N/A,0.05,0.05,0.22,0.11,N/A,0.23,0.22,N/A,0.06,0.16,N/A,-0.03,0.33,0.23,0.30,0.23,0.11,1,N/A,0.27,0.07,N/A,0.24,0.18,0.26,0.11,0.14,0.14,0.04,0.03,0.23,0.06,0.20
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.47,0.18,0.63,N/A,0.15,0.19,0.53,0.38,N/A,0.44,0.59,N/A,0.20,0.20,N/A,0.06,0.75,0.59,0.86,0.39,0.18,0.27,N/A,1,0.28,N/A,0.77,0.53,0.55,0.20,0.26,0.48,0.21,0.19,0.52,0.21,0.58
0.13,0.09,0.29,N/A,-0.00,0.05,0.14,0.20,N/A,0.13,0.19,N/A,0.03,0.07,N/A,-0.01,0.27,0.20,0.28,0.09,0.05,0.07,N/A,0.28,1,N/A,0.18,0.20,0.20,0.03,0.14,0.18,0.13,0.08,0.13,-0.04,0.25
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.42,0.10,0.54,N/A,0.12,0.12,0.53,0.37,N/A,0.40,0.52,N/A,0.24,0.18,N/A,0.09,0.67,0.57,0.77,0.39,0.23,0.24,N/A,0.77,0.18,N/A,1,0.51,0.54,0.17,0.22,0.42,0.11,0.12,0.46,0.18,0.51
0.48,0.19,0.56,N/A,0.09,0.27,0.47,0.76,N/A,0.41,0.53,N/A,0.20,0.15,N/A,0.26,0.69,0.54,0.53,0.34,0.16,0.18,N/A,0.53,0.20,N/A,0.51,1,0.52,0.15,0.22,0.42,0.18,0.11,0.48,0.13,0.89
0.50,0.18,0.57,N/A,0.11,0.28,0.50,0.28,N/A,0.39,0.54,N/A,0.24,0.13,N/A,0.17,0.67,0.55,0.52,0.35,0.20,0.26,N/A,0.55,0.20,N/A,0.54,0.52,1,0.23,0.15,0.41,0.05,0.21,0.54,0.10,0.47
0.15,0.01,0.13,N/A,0.12,0.02,0.18,0.07,N/A,0.19,0.21,N/A,0.29,0.02,N/A,-0.00,0.24,0.20,0.14,0.14,0.02,0.11,N/A,0.20,0.03,N/A,0.17,0.15,0.23,1,-0.03,0.13,0.05,0.03,0.16,-0.00,0.17
0.18,0.07,0.18,N/A,0.09,0.12,0.15,0.25,N/A,0.11,0.24,N/A,-0.02,0.10,N/A,0.04,0.24,0.29,0.28,0.12,0.12,0.14,N/A,0.26,0.14,N/A,0.22,0.22,0.15,-0.03,1,0.12,0.11,0.09,0.17,0.03,0.30
0.36,0.10,0.48,N/A,0.11,0.18,0.40,0.35,N/A,0.35,0.36,N/A,0.20,0.17,N/A,0.19,0.52,0.39,0.42,0.31,0.09,0.14,N/A,0.48,0.18,N/A,0.42,0.42,0.41,0.13,0.12,1,0.14,0.03,0.38,0.14,0.43
0.12,-0.05,0.22,N/A,0.04,0.05,0.16,0.14,N/A,0.17,0.13,N/A,0.08,0.04,N/A,0.01,0.25,0.11,0.17,0.07,0.03,0.04,N/A,0.21,0.13,N/A,0.11,0.18,0.05,0.05,0.11,0.14,1,0.03,0.18,0.05,0.22
0.13,-0.04,0.13,N/A,-0.01,0.20,0.20,0.08,N/A,0.15,0.19,N/A,0.05,0.08,N/A,0.18,0.21,0.11,0.17,0.10,-0.02,0.03,N/A,0.19,0.08,N/A,0.12,0.11,0.21,0.03,0.09,0.03,0.03,1,0.08,0.09,0.14
0.45,0.17,0.57,N/A,0.08,0.22,0.48,0.30,N/A,0.45,0.58,N/A,0.22,0.21,N/A,0.08,0.64,0.51,0.53,0.40,0.19,0.23,N/A,0.52,0.13,N/A,0.46,0.48,0.54,0.16,0.17,0.38,0.18,0.08,1,0.12,0.50
0.17,-0.07,0.18,N/A,0.00,0.05,0.16,0.13,N/A,0.10,0.13,N/A,-0.00,0.04,N/A,-0.01,0.15,0.07,0.17,0.11,0.01,0.06,N/A,0.21,-0.04,N/A,0.18,0.13,0.10,-0.00,0.03,0.14,0.05,0.09,0.12,1,0.14
0.47,0.20,0.59,N/A,0.08,0.23,0.46,0.89,N/A,0.44,0.55,N/A,0.19,0.14,N/A,0.18,0.72,0.56,0.55,0.38,0.21,0.20,N/A,0.58,0.25,N/A,0.51,0.89,0.47,0.17,0.30,0.43,0.22,0.14,0.50,0.14,1
