-0.05,0.11,0.07,0.23,0.00,0.03,N/A,0.05,0.11,0.11,1,0.30,0.25,0.17,0.06,0.07,0.10,N/A,0.12,0.26,0.04,0.26,0.18,0.11,N/A,0.24,0.20,0.08,0.06
0.16,0.08,0.10,0.28,0.04,0.15,N/A,0.11,0.06,0.02,0.30,1,0.18,0.11,0.05,0.10,0.13,N/A,0.12,0.29,0.08,0.24,0.19,0.06,N/A,0.30,0.06,0.32,0.08
0.10,0.08,0.06,0.25,-0.05,0.02,N/A,0.15,0.10,0.01,0.25,0.18,1,0.11,0.13,0.03,0.15,N/A,0.04,0.22,0.12,0.25,0.22,0.10,N/A,0.24,0.01,0.13,0.09
0.02,0.01,0.10,0.17,-0.02,0.05,N/A,0.06,-0.04,0.00,0.17,0.11,0.11,1,0.04,0.05,0.09,N/A,-0.02,0.16,-0.01,0.03,0.12,-0.04,N/A,0.12,-0.04,0.06,0.17
0.08,0.37,0.04,0.05,-0.00,0.08,N/A,0.05,0.09,0.02,0.06,0.05,0.13,0.04,1,-0.02,0.15,N/A,0.14,0.15,-0.00,0.08,0.08,0.09,N/A,0.47,0.07,-0.01,0.15
0.14,0.07,0.14,0.12,-0.09,-0.01,N/A,-0.07,0.08,0.01,0.07,0.10,0.03,0.05,-0.02,1,0.08,N/A,0.15,0.40,0.04,-0.00,0.07,0.08,N/A,0.12,0.07,0.10,0.10
0.06,0.21,0.06,0.10,-0.04,-0.04,N/A,0.10,0.23,0.02,0.10,0.13,0.15,0.09,0.15,0.08,1,N/A,0.15,0.18,0.01,0.14,0.14,0.23,N/A,0.25,0.05,0.09,0.12
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.36,0.49,0.13,0.14,0.01,-0.01,N/A,0.01,0.25,0.10,0.12,0.12,0.04,-0.02,0.14,0.15,0.15,N/A,1,0.21,0.03,0.14,0.09,0.25,N/A,0.32,0.10,0.05,0.13
0.19,0.15,0.27,0.40,0.04,0.07,N/A,0.05,0.19,0.07,0.26,0.29,0.22,0.16,0.15,0.40,0.18,N/A,0.21,1,0.05,0.37,0.34,0.19,N/A,0.56,0.18,0.19,0.18
0.04,0.01,0.02,0.05,0.01,0.01,N/A,0.00,-0.02,0.00,0.04,0.08,0.12,-0.01,-0.00,0.04,0.01,N/A,0.03,0.05,1,0.04,0.02,-0.02,N/A,0.05,0.01,0.03,-0.01
0.06,0.15,0.14,0.29,-0.05,0.03,N/A,0.03,0.07,0.02,0.26,0.24,0.25,0.03,0.08,-0.00,0.14,N/A,0.14,0.37,0.04,1,0.22,0.07,N/A,0.31,0.10,0.03,0.12
0.03,0.10,0.26,0.32,0.03,0.03,N/A,0.06,0.19,0.07,0.18,0.19,0.22,0.12,0.08,0.07,0.14,N/A,0.09,0.34,0.02,0.22,1,0.19,N/A,0.44,0.06,0.12,0.30
0.10,0.18,0.25,0.19,-0.03,-0.01,N/A,0.24,1.00,0.30,0.11,0.06,0.10,-0.04,0.09,0.08,0.23,N/A,0.25,0.19,-0.02,0.07,0.19,1,N/A,0.33,0.01,0.19,0.35
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.18,0.45,0.26,0.38,0.00,0.05,N/A,0.15,0.33,0.21,0.24,0.30,0.24,0.12,0.47,0.12,0.25,N/A,0.32,0.56,0.05,0.31,0.44,0.33,N/A,1,0.09,0.15,0.26
-0.00,0.08,0.04,0.11,-0.03,0.05,N/A,-0.05,0.01,0.02,0.20,0.06,0.01,-0.04,0.07,0.07,0.05,N/A,0.10,0.18,0.01,0.10,0.06,0.01,N/A,0.09,1,0.04,-0.02
0.12,0.11,0.03,0.05,-0.07,-0.04,N/A,0.24,0.19,0.08,0.08,0.32,0.13,0.06,-0.01,0.10,0.09,N/A,0.05,0.19,0.03,0.03,0.12,0.19,N/A,0.15,0.04,1,0.13
0.07,0.11,0.26,0.17,-0.02,0.04,N/A,0.24,0.35,0.02,0.06,0.08,0.09,0.17,0.15,0.10,0.12,N/A,0.13,0.18,-0.01,0.12,0.30,0.35,N/A,0.26,-0.02,0.13,1
