N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.19,-0.01,-0.01,0.12,0.26,0.15,0.11,0.10,N/A,0.00,N/A,1,-0.03,-0.05,0.22,N/A,0.19,0.01,N/A,-0.05,0.07,N/A,0.11,0.08,-0.12,0.10,0.01,0.00
0.02,0.07,0.12,0.22,0.29,0.34,0.34,0.11,N/A,0.19,N/A,-0.03,1,-0.12,-0.02,N/A,0.02,0.05,N/A,0.14,0.33,N/A,0.04,-0.05,0.15,0.16,0.02,0.10
-0.10,-0.00,0.15,-0.08,-0.06,-0.04,0.03,0.01,N/A,-0.02,N/A,-0.05,-0.12,1,-0.18,N/A,-0.10,-0.04,N/A,-0.03,-0.01,N/A,0.00,0.06,0.00,0.00,-0.01,-0.01
0.08,0.07,0.22,0.24,0.06,0.11,0.03,0.37,N/A,0.14,N/A,0.22,-0.02,-0.18,1,N/A,0.08,0.02,N/A,0.12,0.12,N/A,0.06,0.28,0.11,0.13,0.00,0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.00,0.07,0.05,0.04,0.06,0.20,0.08,0.10,N/A,0.21,N/A,0.19,0.02,-0.10,0.08,N/A,1,0.03,N/A,0.11,0.09,N/A,-0.06,-0.10,-0.06,0.16,-0.03,0.00
0.03,0.08,0.08,0.07,0.23,0.19,0.03,0.14,N/A,0.22,N/A,0.01,0.05,-0.04,0.02,N/A,0.03,1,N/A,0.18,0.07,N/A,0.11,0.01,0.15,0.06,0.14,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.11,-0.01,0.48,0.19,0.12,0.18,0.15,0.28,N/A,0.23,N/A,-0.05,0.14,-0.03,0.12,N/A,0.11,0.18,N/A,1,0.20,N/A,0.01,0.15,0.45,0.10,0.01,0.09
0.09,0.18,0.16,0.25,0.32,0.36,0.43,0.07,N/A,0.20,N/A,0.07,0.33,-0.01,0.12,N/A,0.09,0.07,N/A,0.20,1,N/A,0.08,0.07,0.13,0.28,0.25,0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.06,0.01,0.10,0.25,0.16,0.27,0.13,0.20,N/A,0.24,N/A,0.11,0.04,0.00,0.06,N/A,-0.06,0.11,N/A,0.01,0.08,N/A,1,0.06,0.24,0.09,0.05,0.11
-0.10,0.06,0.05,0.40,0.09,0.07,0.08,0.40,N/A,0.06,N/A,0.08,-0.05,0.06,0.28,N/A,-0.10,0.01,N/A,0.15,0.07,N/A,0.06,1,0.31,0.05,-0.05,0.27
-0.06,0.05,0.23,0.23,0.14,0.16,0.18,0.23,N/A,0.27,N/A,-0.12,0.15,0.00,0.11,N/A,-0.06,0.15,N/A,0.45,0.13,N/A,0.24,0.31,1,0.08,0.04,0.04
0.16,0.73,0.21,0.22,0.34,0.39,0.36,0.17,N/A,0.23,N/A,0.10,0.16,0.00,0.13,N/A,0.16,0.06,N/A,0.10,0.28,N/A,0.09,0.05,0.08,1,0.05,0.03
-0.03,0.03,-0.04,0.09,0.16,0.09,0.08,0.08,N/A,0.10,N/A,0.01,0.02,-0.01,0.00,N/A,-0.03,0.14,N/A,0.01,0.25,N/A,0.05,-0.05,0.04,0.05,1,-0.02
0.00,0.07,-0.00,0.16,-0.04,0.19,-0.04,0.18,N/A,0.10,N/A,0.00,0.10,-0.01,0.02,N/A,0.00,0.04,N/A,0.09,0.02,N/A,0.11,0.27,0.04,0.03,-0.02,1
