0.09,0.07,0.11,0.18,0.37,0.15,0.19,0.12,0.43,0.30,0.19,-0.02,0.10,0.23,N/A,1,0.28,0.11,0.01,0.23,0.21,0.06,0.24,0.25,0.07,0.52,0.27,0.04,0.31,0.17,N/A,0.07,0.20,N/A,0.24,0.14
0.05,-0.00,0.08,0.22,0.17,0.17,0.35,0.03,0.49,0.15,0.14,0.13,0.23,0.34,N/A,0.28,1,0.21,0.04,0.11,0.31,0.12,0.16,0.37,0.08,0.43,0.44,0.00,0.28,0.28,N/A,0.09,0.27,N/A,0.32,0.09
0.15,0.02,0.07,0.06,0.20,0.22,0.34,0.10,0.34,0.17,0.11,-0.07,-0.06,0.19,N/A,0.11,0.21,1,-0.12,0.00,0.29,0.05,0.15,0.23,-0.03,0.41,0.33,0.02,0.33,0.17,N/A,0.15,0.04,N/A,0.16,0.14
0.01,0.01,-0.00,-0.03,-0.03,-0.08,0.05,-0.00,-0.04,-0.06,0.01,0.23,-0.01,-0.02,N/A,0.01,0.04,-0.12,1,0.08,0.08,-0.04,0.16,0.12,-0.06,-0.03,0.01,-0.01,-0.01,-0.06,N/A,0.00,-0.01,N/A,0.00,-0.03
0.07,0.02,0.08,0.05,0.16,0.08,0.25,-0.01,0.24,0.46,-0.02,-0.09,-0.01,0.22,N/A,0.23,0.11,0.00,0.08,1,0.26,-0.09,-0.02,0.19,0.12,0.23,0.18,0.11,0.18,0.21,N/A,0.01,0.18,N/A,0.15,0.22
-0.04,0.01,0.04,0.08,0.16,0.30,0.55,0.03,0.47,0.28,0.26,0.07,0.03,0.22,N/A,0.21,0.31,0.29,0.08,0.26,1,0.13,0.17,0.38,0.16,0.30,0.40,-0.02,0.19,0.23,N/A,0.21,0.34,N/A,0.26,0.21
-0.15,0.04,0.08,0.01,0.19,0.07,-0.01,-0.00,0.19,0.15,0.14,0.10,0.09,0.22,N/A,0.06,0.12,0.05,-0.04,-0.09,0.13,1,0.07,0.01,0.15,0.12,0.12,0.14,0.07,0.03,N/A,0.15,0.15,N/A,0.06,0.18
-0.02,0.04,0.09,0.00,0.26,0.19,0.33,0.09,0.33,0.16,0.47,0.11,0.09,0.26,N/A,0.24,0.16,0.15,0.16,-0.02,0.17,0.07,1,0.16,-0.08,0.30,0.36,0.12,0.25,0.26,N/A,0.35,0.26,N/A,0.20,0.37
0.10,0.03,0.08,0.17,0.18,0.21,0.47,0.04,0.39,0.12,0.21,0.01,0.07,0.18,N/A,0.25,0.37,0.23,0.12,0.19,0.38,0.01,0.16,1,0.02,0.56,0.41,0.06,0.35,0.30,N/A,0.17,0.32,N/A,0.29,0.18
0.05,-0.08,-0.06,0.12,0.16,0.04,0.11,-0.06,0.28,0.19,-0.06,0.04,-0.08,0.15,N/A,0.07,0.08,-0.03,-0.06,0.12,0.16,0.15,-0.08,0.02,1,0.01,0.05,0.04,0.04,-0.03,N/A,0.05,0.01,N/A,0.02,-0.08
0.20,0.10,0.19,0.04,0.33,0.30,0.42,0.16,0.50,0.40,0.30,-0.03,0.18,0.28,N/A,0.52,0.43,0.41,-0.03,0.23,0.30,0.12,0.30,0.56,0.01,1,0.41,0.09,0.52,0.34,N/A,0.19,0.30,N/A,0.49,0.23
0.08,-0.05,0.02,0.27,0.33,0.39,0.47,0.06,0.49,0.26,0.26,-0.04,0.10,0.32,N/A,0.27,0.44,0.33,0.01,0.18,0.40,0.12,0.36,0.41,0.05,0.41,1,0.13,0.48,0.52,N/A,0.36,0.22,N/A,0.28,0.32
-0.02,-0.01,0.03,0.02,0.25,0.09,0.03,-0.07,0.09,0.18,0.08,0.04,0.15,0.10,N/A,0.04,0.00,0.02,-0.01,0.11,-0.02,0.14,0.12,0.06,0.04,0.09,0.13,1,0.25,0.05,N/A,0.04,0.04,N/A,0.05,0.01
0.10,0.07,0.18,0.25,0.33,0.25,0.43,0.09,0.36,0.16,0.07,-0.04,0.10,0.20,N/A,0.31,0.28,0.33,-0.01,0.18,0.19,0.07,0.25,0.35,0.04,0.52,0.48,0.25,1,0.35,N/A,0.13,0.13,N/A,0.28,0.20
0.06,-0.00,0.07,0.16,0.31,0.39,0.35,0.17,0.38,0.20,0.08,-0.05,0.26,0.24,N/A,0.17,0.28,0.17,-0.06,0.21,0.23,0.03,0.26,0.30,-0.03,0.34,0.52,0.05,0.35,1,N/A,0.16,0.09,N/A,0.24,0.16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,-0.02,0.05,0.15,0.08,0.23,0.12,0.07,0.16,0.10,0.23,-0.02,0.02,0.27,N/A,0.07,0.09,0.15,0.00,0.01,0.21,0.15,0.35,0.17,0.05,0.19,0.36,0.04,0.13,0.16,N/A,1,0.28,N/A,0.08,0.45
0.00,0.10,0.14,-0.01,0.07,0.17,0.34,0.12,0.21,0.03,0.38,0.03,0.09,0.26,N/A,0.20,0.27,0.04,-0.01,0.18,0.34,0.15,0.26,0.32,0.01,0.30,0.22,0.04,0.13,0.09,N/A,0.28,1,N/A,0.22,0.51
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,0.70,0.73,0.14,0.21,0.22,0.26,0.66,0.39,0.21,0.17,-0.04,0.13,0.23,N/A,0.24,0.32,0.16,0.00,0.15,0.26,0.06,0.20,0.29,0.02,0.49,0.28,0.05,0.28,0.24,N/A,0.08,0.22,N/A,1,0.10
-0.06,-0.05,-0.01,0.09,0.10,0.19,0.21,0.09,0.18,0.24,0.28,-0.03,0.02,0.23,N/A,0.14,0.09,0.14,-0.03,0.22,0.21,0.18,0.37,0.18,-0.08,0.23,0.32,0.01,0.20,0.16,N/A,0.45,0.51,N/A,0.10,1
