N/A,N/A,0.40,0.09,0.07,0.09,0.78,N/A,0.08,0.32,0.08,0.16,1,0.01,N/A,N/A,0.05,N/A,0.06,0.13,0.07,0.07,N/A,0.16,0.11,0.05,0.05
N/A,N/A,-0.02,-0.01,0.05,-0.15,-0.00,N/A,-0.06,0.06,0.03,-0.06,0.01,1,N/A,N/A,-0.06,N/A,0.03,-0.09,-0.05,-0.08,N/A,0.12,-0.07,-0.12,-0.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.22,0.10,0.06,0.08,0.11,N/A,0.02,0.24,-0.05,0.17,0.05,-0.06,N/A,N/A,1,N/A,0.09,0.10,0.02,0.08,N/A,0.11,0.07,0.14,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.27,0.21,0.41,-0.05,0.13,N/A,0.07,0.26,0.00,0.30,0.06,0.03,N/A,N/A,0.09,N/A,1,0.28,0.28,0.20,N/A,0.77,0.22,0.07,0.23
N/A,N/A,0.31,0.15,0.35,0.10,0.15,N/A,0.04,0.26,0.18,0.15,0.13,-0.09,N/A,N/A,0.10,N/A,0.28,1,0.25,0.18,N/A,0.35,0.07,0.06,0.34
N/A,N/A,0.30,0.41,0.50,0.48,0.07,N/A,0.05,0.50,-0.02,0.42,0.07,-0.05,N/A,N/A,0.02,N/A,0.28,0.25,1,0.52,N/A,0.33,0.04,0.35,0.49
N/A,N/A,0.25,0.32,0.36,0.45,0.14,N/A,0.03,0.41,0.07,0.43,0.07,-0.08,N/A,N/A,0.08,N/A,0.20,0.18,0.52,1,N/A,0.36,0.25,0.34,0.28
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.39,0.33,0.46,0.09,0.19,N/A,0.14,0.36,0.10,0.35,0.16,0.12,N/A,N/A,0.11,N/A,0.77,0.35,0.33,0.36,N/A,1,0.26,0.10,0.27
N/A,N/A,0.07,0.29,0.24,0.15,0.25,N/A,0.02,0.08,0.05,0.08,0.11,-0.07,N/A,N/A,0.07,N/A,0.22,0.07,0.04,0.25,N/A,0.26,1,0.12,0.14
N/A,N/A,0.27,0.28,0.17,0.41,0.12,N/A,0.15,0.17,-0.01,0.19,0.05,-0.12,N/A,N/A,0.14,N/A,0.07,0.06,0.35,0.34,N/A,0.10,0.12,1,0.16
N/A,N/A,0.22,0.34,0.39,0.20,0.08,N/A,0.04,0.31,0.04,0.26,0.05,-0.06,N/A,N/A,0.04,N/A,0.23,0.34,0.49,0.28,N/A,0.27,0.14,0.16,1
